,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
0,-1.256,-0.02203,-1.753,0.8394,-0.2957,0.2289,0.4863,-1.162
1,-1.164,0.2336,1.179,0.7007,1.088,0.7485,0.4863,-1.162
2,-1.072,0.957,-0.1059,-1.566,-1.03,0.2937,0.4863,-0.03653
3,-1.072,-0.914,-0.7314,0.4746,1.779,0.7544,-2.05,-0.03653
4,-0.9805,-1.98,1.1455,0.5215,2.125,-0.5,-2.05,-1.162
5,-0.889,-1.1045,-1.917,0.5728,-0.8145,0.856,0.4863,1.089
7,-0.7056,-0.887,0.7173,-0.8086,1.779,0.9097,0.4863,-1.162
8,-0.614,0.07043,-1.324,0.81,-0.4685,-0.2656,0.4863,-1.162
9,-0.7056,-0.8325,-0.2377,0.8286,1.779,0.322,-2.05,-1.162
10,-1.072,0.9683,-0.04004,-1.7,-1.03,0.113,0.4863,-0.03653
11,-0.5225,0.941,-0.3364,-0.1276,0.3096,-1.624,0.4863,1.089
12,-1.072,-1.507,-0.501,0.7217,0.6553,0.0791,0.4863,-0.03653
13,-0.4307,0.5547,-1.226,0.687,-0.2957,0.3503,0.4863,1.089
14,-0.3389,0.05414,0.948,-1.571,-0.382,-0.2063,0.4863,1.089
15,-0.3389,0.0378,-1.522,0.8696,-0.4685,-0.3728,0.4863,1.089
16,-0.2472,-0.6855,-0.666,0.6436,2.299,0.339,-2.05,-1.162
17,-1.072,-1.855,-0.1388,0.879,-0.2091,-0.9917,0.4863,-0.03653
18,-0.4307,1.441,0.8164,-0.622,1.952,0.0932,-2.05,1.089
19,-0.1555,-0.1635,1.112,0.883,-0.2091,-1.972,0.4863,-1.162
20,-0.06384,0.4785,0.6187,-1.695,0.05023,-0.5254,0.4863,-1.162
21,0.02786,-1.932,-0.2377,-0.6533,2.645,-1.076,-2.05,-1.162
22,0.11957,0.892,0.454,0.6987,-0.555,1.681,0.4863,-1.162
23,0.2112,-1.366,0.8823,1.086,-0.4685,-1.006,0.4863,1.089
24,0.303,0.386,0.586,-0.7065,-1.073,2.582,0.4863,-1.162
25,-1.072,2.639,1.574,0.05447,-0.07947,-0.8926,0.4863,-0.03653
26,0.2112,0.065,1.014,-1.911,-0.382,-0.2429,0.4863,1.089
27,0.2112,-0.8438,0.8823,0.992,-0.4685,-0.6016,0.4863,1.089
28,0.3945,-0.4844,1.112,0.789,-0.2091,-0.65,0.4863,1.089
29,-0.1555,-0.6094,-1.522,0.821,-0.728,-0.2712,0.4863,-1.162
30,-0.889,-1.426,-0.3035,1.017,0.569,-0.927,0.4863,1.089
31,0.4863,1.349,0.2893,-0.7075,0.7417,0.1271,0.4863,-1.162
32,-1.072,-1.366,1.047,-0.942,-0.555,-0.05933,-2.05,-0.03653
33,0.578,-0.713,-0.00709,0.7695,1.174,-0.7373,0.4863,-1.162
34,0.6694,0.1793,1.1455,-1.911,-1.073,2.46,0.4863,-1.162
35,0.4863,1.344,0.2563,-0.814,0.7417,0.0847,0.4863,-1.162
36,-1.072,0.7124,0.8164,0.1602,-0.8145,1.67,0.4863,-0.03653
37,0.761,-1.409,1.673,-1.669,0.396,-1.907,0.4863,1.089
38,0.2112,-1.214,0.3552,0.9204,-0.4685,-0.9014,0.4863,1.089
39,0.2112,0.337,0.2563,0.456,-0.4685,0.2373,0.4863,1.089
40,0.761,-0.517,0.4868,-0.7515,-0.2091,-0.387,0.4863,1.089
41,0.853,0.261,-0.2047,0.6924,-0.4685,-0.325,0.4863,-1.162
42,0.2112,0.1683,-0.666,-0.645,-0.382,-0.178,0.4863,1.089
43,0.3945,-0.5713,-1.259,1.252,-1.073,-0.452,0.4863,1.089
44,-0.3389,0.07043,1.047,-1.911,-0.382,-0.2091,0.4863,1.089
45,-0.3389,0.09766,-1.16,-1.543,-1.073,-0.322,0.4863,1.089
46,-0.4307,0.6636,-0.534,0.555,-0.2957,0.4124,0.4863,1.089
