,xg_pg,xg_per_shot,shot_accuracy_pct,pass_accuracy_pct,passes_pg,key_passes_pg,pressure_pg,carry_final_third_pg,dribble_success_pct,fouls_pg,interceptions_pg,clearances_pg,group
Canada,1.309541843,0.1122464436857143,14.285714285714285,83.89560789306174,523.6666666666666,8.333333333333334,126.66666666666667,115.66666666666667,53.333333333333336,12.333333333333334,10.666666666666666,17.0,F
Morocco,0.5933837836666666,0.07120605404,32.0,79.8932384341637,374.6666666666667,5.0,161.0,62.666666666666664,47.72727272727273,16.333333333333332,12.0,24.333333333333332,
England,1.7877604203333333,0.13752003233333335,43.58974358974359,87.41496598639455,686.0,6.666666666666667,92.66666666666667,124.0,60.0,10.333333333333334,7.333333333333333,12.0,B
Iran,1.2768021627666668,0.1160729238878788,27.27272727272727,70.39999999999999,375.0,7.0,150.66666666666666,70.0,42.42424242424242,17.333333333333332,15.666666666666666,16.0,B
Croatia,1.3850311613333333,0.14327908565517242,51.724137931034484,83.35183129855716,600.6666666666666,6.0,145.66666666666666,121.66666666666667,45.0,12.666666666666666,13.666666666666666,17.666666666666668,F
Belgium,1.2314976759333331,0.10555694365142856,28.57142857142857,85.59185859667916,622.3333333333334,8.666666666666666,103.0,90.66666666666667,62.16216216216216,10.333333333333334,7.666666666666667,22.0,F
Netherlands,0.9807670326666665,0.11769204391999999,32.0,85.17333333333333,625.0,5.0,125.33333333333333,118.0,48.0,17.0,6.666666666666667,16.0,A
Ecuador,1.2689094634666667,0.12689094634666667,36.666666666666664,79.6821008984105,482.3333333333333,5.333333333333333,139.0,69.33333333333333,50.0,16.666666666666668,10.666666666666666,17.0,A
Japan,1.0601979160000001,0.10259979832258065,32.25806451612903,78.81646655231562,388.6666666666667,6.0,186.33333333333334,78.66666666666667,48.57142857142857,16.666666666666668,10.0,24.0,E
Spain,1.4197121325,0.118309344375,41.66666666666667,90.65354884047785,948.6666666666666,7.666666666666667,97.66666666666667,186.0,37.5,10.0,9.333333333333334,8.333333333333334,E
United States,0.7621467992,0.08165858562857142,25.0,83.575489576753,527.6666666666666,7.0,144.66666666666666,123.33333333333333,61.53846153846154,15.333333333333334,8.333333333333334,23.666666666666668,B
Wales,0.7396602336666667,0.09245752920833333,29.166666666666668,77.67923133776792,451.0,5.666666666666667,118.0,67.0,34.285714285714285,12.666666666666666,8.0,26.0,B
Tunisia,0.8034841496666666,0.07532663903124999,25.0,75.1131221719457,442.0,6.666666666666667,120.33333333333333,76.33333333333333,55.00000000000001,13.666666666666666,11.0,34.0,D
France,1.8603515303333336,0.10335286279629631,27.77777777777778,86.9653767820774,654.6666666666666,13.0,95.33333333333333,145.66666666666666,55.932203389830505,5.333333333333333,12.666666666666666,15.666666666666666,D
Switzerland,1.6062297276666666,0.17846996974074075,37.03703703703704,81.95089581950896,502.3333333333333,6.0,112.66666666666667,85.33333333333333,41.17647058823529,15.333333333333334,11.333333333333334,27.333333333333332,G
Cameroon,1.0222478167333333,0.10952655179285713,57.14285714285714,76.92307692307693,420.3333333333333,6.0,134.33333333333334,82.0,62.7906976744186,12.0,15.333333333333334,22.333333333333332,G
Portugal,1.4281098882,0.1098546067846154,35.8974358974359,85.6020942408377,636.6666666666666,8.0,93.0,144.66666666666666,47.82608695652174,12.0,5.333333333333333,22.666666666666668,H
